# x0,y0,z0,vx0,vy0,vz0,m,R
# All in earth masses & radi, days and AU
0.0,0.0,0.0,0.0,0.0,0.0,333030.0, 109.0
1.0,0.0,0.0,0.0,0.0172024238,0.0,1.0,1.0
1.0025695552898,0.0,0.0,0.0,7.0351e-6,0.0,0.0123032,0.27266
